date,url,code,time_total,time_connect,time_appconnect,time_starttransfer
2019-11-28 23:32:16,digitec,200,0.142874,0.018034,0.051152,0.075708
2019-11-28 23:32:31,digitec,200,0.164282,0.017978,0.065322,0.093211
2019-11-28 23:32:46,digitec,200,0.133813,0.013606,0.063273,0.097233
2019-11-28 23:33:02,digitec,200,0.133130,0.016559,0.051736,0.075509
2019-11-28 23:33:17,digitec,200,0.177274,0.017626,0.078294,0.100134
2019-11-28 23:33:32,digitec,200,0.133260,0.008773,0.060648,0.088790
2019-11-28 23:33:47,digitec,200,0.112260,0.022124,0.055605,0.075285
2019-11-28 23:34:02,digitec,200,0.124558,0.016880,0.050170,0.078205
2019-11-28 23:34:18,digitec,200,0.135514,0.024956,0.076356,0.097212
2019-11-28 23:34:33,digitec,200,0.128495,0.009058,0.040309,0.065559
2019-11-28 23:34:48,digitec,200,0.120848,0.017916,0.053340,0.074752
2019-11-28 23:35:03,digitec,200,0.146541,0.017093,0.071957,0.096086
2019-11-28 23:35:18,digitec,200,0.129922,0.013659,0.053407,0.079754
2019-11-28 23:35:33,digitec,200,0.177807,0.017342,0.078220,0.102442
2019-11-28 23:35:49,digitec,200,0.121304,0.017256,0.057026,0.077005
2019-11-28 23:36:04,digitec,200,0.151542,0.018454,0.066439,0.085387
2019-11-28 23:36:19,digitec,200,0.130013,0.009300,0.056819,0.079651
2019-11-28 23:36:34,digitec,200,0.124972,0.017022,0.052887,0.075844
2019-11-28 23:36:50,digitec,200,0.180277,0.038361,0.084681,0.126081
2019-11-28 23:37:05,digitec,200,0.162264,0.009078,0.069120,0.095123
2019-11-28 23:37:20,digitec,200,0.127781,0.019331,0.057359,0.079043
2019-11-28 23:37:35,digitec,200,0.166317,0.018845,0.078649,0.104223
2019-11-28 23:37:50,digitec,200,0.121460,0.009246,0.049994,0.073075
2019-11-28 23:38:06,digitec,200,0.119956,0.017882,0.050116,0.075332
2019-11-28 23:38:21,digitec,200,0.132744,0.016873,0.045978,0.087507
2019-11-28 23:38:36,digitec,200,0.130077,0.018358,0.052193,0.073658
2019-11-28 23:38:51,digitec,200,0.361005,0.012542,0.175277,0.330966
2019-11-28 23:39:06,digitec,200,0.131916,0.017073,0.047501,0.072661
2019-11-28 23:39:22,digitec,200,0.116929,0.017834,0.054459,0.079391
2019-11-28 23:39:37,digitec,200,0.120657,0.022240,0.057874,0.081303
2019-11-28 23:39:52,digitec,200,0.359841,0.016153,0.051387,0.076133
2019-11-28 23:40:07,digitec,200,0.162488,0.036769,0.093494,0.115710
2019-11-28 23:40:23,digitec,200,0.130049,0.008415,0.044743,0.089316
2019-11-28 23:40:38,digitec,200,0.132551,0.018325,0.067981,0.089966
2019-11-28 23:40:53,digitec,200,0.122822,0.016805,0.050656,0.079908
2019-11-28 23:41:08,digitec,200,0.105995,0.009664,0.038848,0.059205
2019-11-28 23:41:23,digitec,200,0.121069,0.016656,0.053410,0.078568
2019-11-28 23:41:38,digitec,200,0.144534,0.017083,0.055118,0.075932
2019-11-28 23:41:54,digitec,200,0.186562,0.017622,0.068219,0.135881
2019-11-28 23:42:09,digitec,200,0.206617,0.011096,0.120330,0.146922
2019-11-28 23:42:24,digitec,200,0.130462,0.016136,0.055233,0.076588
2019-11-28 23:42:39,digitec,200,0.144182,0.018766,0.065327,0.092941
2019-11-28 23:42:55,digitec,200,0.118339,0.008608,0.047680,0.071655
2019-11-28 23:43:10,digitec,200,0.127195,0.017900,0.050894,0.079086
2019-11-28 23:43:25,digitec,200,0.128142,0.021072,0.058994,0.081082
2019-11-28 23:43:40,digitec,200,0.123121,0.017729,0.051343,0.073662
2019-11-28 23:43:55,digitec,200,0.114347,0.014652,0.047967,0.068966
2019-11-28 23:44:10,digitec,200,0.131884,0.016979,0.052717,0.072764
2019-11-28 23:44:26,digitec,200,0.132982,0.016882,0.049317,0.071874
2019-11-28 23:44:41,digitec,200,0.113906,0.012351,0.041543,0.069537
2019-11-28 23:44:56,digitec,200,0.129366,0.016860,0.049928,0.072687
2019-11-28 23:45:11,digitec,200,0.116400,0.011460,0.048295,0.070363
2019-11-28 23:45:26,digitec,200,0.125219,0.020211,0.051144,0.078350
2019-11-28 23:45:41,digitec,200,0.131625,0.017711,0.050850,0.078622
2019-11-28 23:45:57,digitec,200,0.129109,0.017140,0.049878,0.079533
2019-11-28 23:46:12,digitec,200,0.147752,0.008778,0.040898,0.083399
2019-11-28 23:46:27,digitec,200,0.175128,0.019034,0.054481,0.126037
2019-11-28 23:46:42,digitec,200,0.208709,0.020395,0.118724,0.142692
2019-11-28 23:46:57,digitec,200,0.132394,0.008646,0.051109,0.075896
2019-11-28 23:47:13,digitec,200,0.126764,0.019370,0.050676,0.072722
2019-11-28 23:47:28,digitec,200,0.121568,0.019521,0.053405,0.077799
2019-11-28 23:47:43,digitec,200,0.120756,0.009320,0.039143,0.082779
2019-11-28 23:47:58,digitec,200,0.163885,0.019310,0.054691,0.078635
2019-11-28 23:48:13,digitec,200,0.147566,0.018934,0.052911,0.076470
2019-11-28 23:48:28,digitec,200,0.137200,0.018788,0.057337,0.084300
2019-11-28 23:48:44,digitec,200,0.150265,0.009024,0.051813,0.103908
2019-11-28 23:48:59,digitec,200,0.142057,0.020601,0.058099,0.084886
2019-11-28 23:49:14,digitec,200,0.118105,0.020521,0.052380,0.073440
2019-11-28 23:49:29,digitec,200,0.134003,0.010381,0.044157,0.068968
2019-11-28 23:49:44,digitec,200,0.121266,0.018151,0.055257,0.079937
2019-11-28 23:50:00,digitec,200,0.124423,0.020280,0.054325,0.075157
2019-11-28 23:50:15,digitec,200,0.120782,0.011642,0.048875,0.070022
2019-11-28 23:50:30,digitec,200,0.115848,0.018045,0.050379,0.076955
2019-11-28 23:50:45,digitec,200,0.126318,0.022065,0.055703,0.079173
2019-11-28 23:51:00,digitec,200,0.116515,0.010554,0.039877,0.062580
2019-11-28 23:51:15,digitec,200,0.106001,0.018391,0.046598,0.068894
2019-11-28 23:51:31,digitec,200,0.127610,0.034584,0.072752,0.094590
2019-11-28 23:51:46,digitec,200,0.132580,0.033298,0.065358,0.087057
2019-11-28 23:52:01,digitec,200,0.119017,0.014154,0.056009,0.076599
2019-11-28 23:52:16,digitec,200,0.169541,0.017832,0.055387,0.120320
2019-11-28 23:52:31,digitec,200,0.116957,0.020780,0.051608,0.071463
2019-11-28 23:52:46,digitec,200,0.143254,0.009593,0.041947,0.079796
2019-11-28 23:53:02,digitec,200,0.139081,0.017446,0.049523,0.085570
2019-11-28 23:53:17,digitec,200,0.145416,0.018141,0.053215,0.095690
2019-11-28 23:53:32,digitec,200,0.118015,0.016779,0.052732,0.073827
