date,url,code,time_total,time_connect,time_appconnect,time_starttransfer
2019-11-28 23:37:00,microspot,200,0.422762,0.000093,0.000093,0.041549
2019-11-28 23:37:15,microspot,200,0.406544,0.000144,0.000144,0.040240
2019-11-28 23:37:31,microspot,200,0.492484,0.000029,0.000029,0.052171
2019-11-28 23:37:46,microspot,200,0.589892,0.000035,0.000035,0.050019
2019-11-28 23:38:02,microspot,200,0.497824,0.000044,0.000045,0.051273
2019-11-28 23:38:18,microspot,200,0.359335,0.000035,0.000035,0.063080
2019-11-28 23:38:33,microspot,200,0.558118,0.000045,0.000045,0.137352
2019-11-28 23:38:49,microspot,200,0.539562,0.000059,0.000059,0.050464
2019-11-28 23:39:04,microspot,200,0.465694,0.000047,0.000047,0.055445
2019-11-28 23:39:20,microspot,200,0.497923,0.000101,0.000101,0.052680
2019-11-28 23:39:35,microspot,200,0.447799,0.000037,0.000037,0.057062
2019-11-28 23:39:51,microspot,200,0.535400,0.000052,0.000052,0.078272
2019-11-28 23:40:06,microspot,200,0.533697,0.006591,0.042133,0.092878
2019-11-28 23:40:22,microspot,200,0.495126,0.000040,0.000040,0.049832
2019-11-28 23:40:38,microspot,200,0.530800,0.000047,0.000047,0.054072
2019-11-28 23:40:53,microspot,200,0.328745,0.000031,0.000031,0.052760
2019-11-28 23:41:08,microspot,200,0.382101,0.000033,0.000033,0.042054
2019-11-28 23:41:24,microspot,200,0.341528,0.000025,0.000025,0.040395
2019-11-28 23:41:39,microspot,200,0.391977,0.000035,0.000035,0.041560
2019-11-28 23:41:55,microspot,200,0.350145,0.000057,0.000057,0.040941
2019-11-28 23:42:10,microspot,200,0.471227,0.000032,0.000032,0.036807
2019-11-28 23:42:26,microspot,200,0.448276,0.000032,0.000033,0.060023
2019-11-28 23:42:41,microspot,200,0.560613,0.000038,0.000038,0.049677
2019-11-28 23:42:57,microspot,200,0.418047,0.000024,0.000024,0.050253
2019-11-28 23:43:12,microspot,200,0.482486,0.000025,0.000025,0.050694
2019-11-28 23:43:28,microspot,200,0.319264,0.000031,0.000031,0.053142
2019-11-28 23:43:43,microspot,200,0.360139,0.000053,0.000053,0.041298
2019-11-28 23:43:59,microspot,200,0.387393,0.000033,0.000033,0.040640
2019-11-28 23:44:14,microspot,200,0.335980,0.000029,0.000029,0.036949
2019-11-28 23:44:29,microspot,200,0.371797,0.000033,0.000033,0.042163
2019-11-28 23:44:45,microspot,200,0.290962,0.000031,0.000031,0.038691
2019-11-28 23:45:00,microspot,200,0.368129,0.000031,0.000031,0.037566
2019-11-28 23:45:16,microspot,200,0.390191,0.000029,0.000030,0.052941
2019-11-28 23:45:31,microspot,200,0.365194,0.000030,0.000030,0.053106
2019-11-28 23:45:46,microspot,200,0.389735,0.000033,0.000033,0.053306
2019-11-28 23:46:02,microspot,200,0.429107,0.000032,0.000032,0.080129
2019-11-28 23:46:17,microspot,200,0.482179,0.000031,0.000031,0.052402
2019-11-28 23:46:33,microspot,200,0.486023,0.000051,0.000051,0.049986
2019-11-28 23:46:48,microspot,200,0.446767,0.000036,0.000036,0.053098
2019-11-28 23:47:04,microspot,200,0.501625,0.000090,0.000090,0.050151
2019-11-28 23:47:19,microspot,200,0.443546,0.000050,0.000050,0.052510
2019-11-28 23:47:35,microspot,200,0.283811,0.000035,0.000035,0.042037
2019-11-28 23:47:50,microspot,200,0.397518,0.000051,0.000051,0.040735
2019-11-28 23:48:06,microspot,200,0.414470,0.000035,0.000035,0.099550
2019-11-28 23:48:21,microspot,200,0.356405,0.000048,0.000049,0.037682
2019-11-28 23:48:36,microspot,200,0.305629,0.000052,0.000052,0.043487
2019-11-28 23:48:52,microspot,200,0.368296,0.000114,0.000115,0.039283
2019-11-28 23:49:07,microspot,200,0.356114,0.000047,0.000047,0.041997
2019-11-28 23:49:23,microspot,200,0.370802,0.000026,0.000026,0.038868
2019-11-28 23:49:38,microspot,200,0.610465,0.000058,0.000058,0.310808
2019-11-28 23:49:54,microspot,200,0.749804,0.000051,0.000051,0.305348
2019-11-28 23:50:09,microspot,200,0.731075,0.000047,0.000047,0.393149
2019-11-28 23:50:25,microspot,200,0.335419,0.000046,0.000046,0.054381
2019-11-28 23:50:41,microspot,200,0.565874,0.000045,0.000045,0.051181
2019-11-28 23:50:56,microspot,200,0.470436,0.000037,0.000037,0.049812
2019-11-28 23:51:12,microspot,200,0.426706,0.000039,0.000039,0.053975
2019-11-28 23:51:27,microspot,200,0.442270,0.000052,0.000052,0.061556
2019-11-28 23:51:43,microspot,200,0.473246,0.000023,0.000023,0.055484
2019-11-28 23:51:58,microspot,200,0.515213,0.000035,0.000035,0.051307
2019-11-28 23:52:14,microspot,200,0.543006,0.006396,0.056877,0.109106
2019-11-28 23:52:29,microspot,200,0.469754,0.000045,0.000045,0.053084
2019-11-28 23:52:45,microspot,200,0.373577,0.000059,0.000059,0.057645
2019-11-28 23:53:00,microspot,200,0.428714,0.000026,0.000027,0.055079
2019-11-28 23:53:16,microspot,200,0.323873,0.000021,0.000021,0.054749
2019-11-28 23:53:31,microspot,200,0.447726,0.000027,0.000027,0.050725
